, i and j  , i , j , nam , sk
0,iandj ,7,220, test_pos , SP
1,iandj ,137,270, test_pos , SP
2,iandj ,6,254, test_pos , SP
3,iandj ,6,55, test_pos , SP
4,iandj ,222,1048, test_pos , SP
5,iandj ,7,105, test_pos , SP
6,iandj ,332,1657, test_pos , SP
7,iandj ,3,42, test_pos , SP
8,iandj ,10,56, test_pos , SP
9,iandj ,208,1089, test_pos , SP
10,iandj ,30,1565, test_pos , SP
11,iandj ,54,127, test_pos , SP
12,iandj ,235,1867, test_pos , SP
13,iandj ,54,2241, test_pos , SP
14,iandj ,196,1984, test_pos , SP
15,iandj ,332,2302, test_pos , SP
16,iandj ,2,188, test_pos , SP
17,iandj ,119,417, test_pos , SP
18,iandj ,2,209, test_pos , SP
19,iandj ,7,100, test_pos , SP
20,iandj ,281,1034, test_pos , SP
21,iandj ,175,1777, test_pos , SP
22,iandj ,3,258, test_pos , SP
23,iandj ,171,843, test_pos , SP
24,iandj ,3,163, test_pos , SP
25,iandj ,267,768, test_pos , SP
26,iandj ,2,10, test_pos , SP
27,iandj ,273,1707, test_pos , SP
28,iandj ,7,112, test_pos , SP
29,iandj ,267,846, test_pos , SP
30,iandj ,254,591, test_pos , SP
31,iandj ,186,1194, test_pos , SP
32,iandj ,6,167, test_pos , SP
33,iandj ,2,258, test_pos , SP
34,iandj ,7,204, test_pos , SP
35,iandj ,117,1962, test_pos , SP
36,iandj ,102,432, test_pos , SP
37,iandj ,137,963, test_pos , SP
38,iandj ,2,284, test_pos , SP
39,iandj ,3,126, test_pos , SP
40,iandj ,1,117, test_pos , SP
41,iandj ,7,120, test_pos , SP
42,iandj ,85,1215, test_pos , SP
43,iandj ,7,137, test_pos , SP
44,iandj ,9,312, test_pos , SP
45,iandj ,54,1870, test_pos , SP
46,iandj ,5,71, test_pos , SP
47,iandj ,72,1169, test_pos , SP
48,iandj ,3,127, test_pos , SP
49,iandj ,6,117, test_pos , SP
50,iandj ,218,1414, test_pos , SP
51,iandj ,2,262, test_pos , SP
52,iandj ,109,1456, test_pos , SP
53,iandj ,124,664, test_pos , SP
54,iandj ,3,12, test_pos , SP
55,iandj ,308,1078, test_pos , SP
56,iandj ,280,875, test_pos , SP
57,iandj ,7,278, test_pos , SP
58,iandj ,139,2340, test_pos , SP
59,iandj ,9,72, test_pos , SP
60,iandj ,1,196, test_pos , SP
61,iandj ,22,267, test_pos , SP
62,iandj ,6,112, test_pos , SP
63,iandj ,201,808, test_pos , SP
64,iandj ,173,1394, test_pos , SP
65,iandj ,6,68, test_pos , SP
66,iandj ,54,2131, test_pos , SP
67,iandj ,308,1653, test_pos , SP
68,iandj ,9,284, test_pos , SP
69,iandj ,9,178, test_pos , SP
70,iandj ,10,38, test_pos , SP
71,iandj ,2,5, test_pos , SP
72,iandj ,91,2040, test_pos , SP
73,iandj ,6,207, test_pos , SP
74,iandj ,54,1032, test_pos , SP
75,iandj ,223,1544, test_pos , SP
76,iandj ,1,277, test_pos , SP
77,iandj ,54,886, test_pos , SP
78,iandj ,254,397, test_pos , SP
79,iandj ,22,332, test_pos , SP
80,iandj ,7,81, test_pos , SP
81,iandj ,6,243, test_pos , SP
82,iandj ,3,22, test_pos , SP
83,iandj ,143,586, test_pos , SP
84,iandj ,7,298, test_pos , SP
85,iandj ,54,680, test_pos , SP
86,iandj ,22,54, test_pos , SP
87,iandj ,218,1846, test_pos , SP
88,iandj ,187,280, test_pos , SP
89,iandj ,144,1050, test_pos , SP
90,iandj ,168,1220, test_pos , SP
91,iandj ,54,2263, test_pos , SP
92,iandj ,1,246, test_pos , SP
93,iandj ,267,1394, test_pos , SP
94,iandj ,109,2073, test_pos , SP
