 i and j  , i , j , nam , sk
iandj , 7 , 220 , test_pos , SP
iandj , 137 , 270 , test_pos , SP
iandj , 6 , 254 , test_pos , SP
iandj , 6 , 55 , test_pos , SP
iandj , 222 , 1048 , test_pos , SP
iandj , 7 , 105 , test_pos , SP
iandj , 332 , 1657 , test_pos , SP
iandj , 3 , 42 , test_pos , SP
iandj , 10 , 56 , test_pos , SP
iandj , 208 , 1089 , test_pos , SP
iandj , 30 , 1565 , test_pos , SP
iandj , 54 , 127 , test_pos , SP
iandj , 235 , 1867 , test_pos , SP
iandj , 54 , 2241 , test_pos , SP
iandj , 196 , 1984 , test_pos , SP
iandj , 332 , 2302 , test_pos , SP
iandj , 2 , 188 , test_pos , SP
iandj , 119 , 417 , test_pos , SP
iandj , 2 , 209 , test_pos , SP
iandj , 7 , 100 , test_pos , SP
iandj , 281 , 1034 , test_pos , SP
iandj , 175 , 1777 , test_pos , SP
iandj , 3 , 258 , test_pos , SP
iandj , 171 , 843 , test_pos , SP
iandj , 3 , 163 , test_pos , SP
iandj , 267 , 768 , test_pos , SP
iandj , 2 , 10 , test_pos , SP
iandj , 273 , 1707 , test_pos , SP
iandj , 7 , 112 , test_pos , SP
iandj , 267 , 846 , test_pos , SP
iandj , 254 , 591 , test_pos , SP
iandj , 186 , 1194 , test_pos , SP
iandj , 6 , 167 , test_pos , SP
iandj , 2 , 258 , test_pos , SP
iandj , 7 , 204 , test_pos , SP
iandj , 117 , 1962 , test_pos , SP
iandj , 102 , 432 , test_pos , SP
iandj , 137 , 963 , test_pos , SP
iandj , 2 , 284 , test_pos , SP
iandj , 3 , 126 , test_pos , SP
iandj , 1 , 117 , test_pos , SP
iandj , 7 , 120 , test_pos , SP
iandj , 85 , 1215 , test_pos , SP
iandj , 7 , 137 , test_pos , SP
iandj , 9 , 312 , test_pos , SP
iandj , 54 , 1870 , test_pos , SP
iandj , 5 , 71 , test_pos , SP
iandj , 72 , 1169 , test_pos , SP
iandj , 3 , 127 , test_pos , SP
iandj , 6 , 117 , test_pos , SP
iandj , 218 , 1414 , test_pos , SP
iandj , 2 , 262 , test_pos , SP
iandj , 109 , 1456 , test_pos , SP
iandj , 124 , 664 , test_pos , SP
iandj , 3 , 12 , test_pos , SP
iandj , 308 , 1078 , test_pos , SP
iandj , 280 , 875 , test_pos , SP
iandj , 7 , 278 , test_pos , SP
iandj , 139 , 2340 , test_pos , SP
iandj , 9 , 72 , test_pos , SP
iandj , 1 , 196 , test_pos , SP
iandj , 22 , 267 , test_pos , SP
iandj , 6 , 112 , test_pos , SP
iandj , 201 , 808 , test_pos , SP
iandj , 173 , 1394 , test_pos , SP
iandj , 6 , 68 , test_pos , SP
iandj , 54 , 2131 , test_pos , SP
iandj , 308 , 1653 , test_pos , SP
iandj , 9 , 284 , test_pos , SP
iandj , 9 , 178 , test_pos , SP
iandj , 10 , 38 , test_pos , SP
iandj , 2 , 5 , test_pos , SP
iandj , 91 , 2040 , test_pos , SP
iandj , 6 , 207 , test_pos , SP
iandj , 54 , 1032 , test_pos , SP
iandj , 223 , 1544 , test_pos , SP
iandj , 1 , 277 , test_pos , SP
iandj , 54 , 886 , test_pos , SP
iandj , 254 , 397 , test_pos , SP
iandj , 22 , 332 , test_pos , SP
iandj , 7 , 81 , test_pos , SP
iandj , 6 , 243 , test_pos , SP
iandj , 3 , 22 , test_pos , SP
iandj , 143 , 586 , test_pos , SP
iandj , 7 , 298 , test_pos , SP
iandj , 54 , 680 , test_pos , SP
iandj , 22 , 54 , test_pos , SP
iandj , 218 , 1846 , test_pos , SP
iandj , 187 , 280 , test_pos , SP
iandj , 144 , 1050 , test_pos , SP
iandj , 168 , 1220 , test_pos , SP
iandj , 54 , 2263 , test_pos , SP
iandj , 1 , 246 , test_pos , SP
iandj , 267 , 1394 , test_pos , SP
iandj , 109 , 2073 , test_pos , SP
iandj , 72 , 1931 , test_pos , SP
iandj , 3 , 165 , test_pos , SP
