, i and j  , i , j , nam , sk
0, iandj ,7,220, test_pos , MI
1, iandj ,137,270, test_pos , MI
2, iandj ,6,254, test_pos , MI
3, iandj ,6,55, test_pos , MI
4, iandj ,222,1048, test_pos , MI
5, iandj ,7,105, test_pos , MI
6, iandj ,332,1657, test_pos , MI
7, iandj ,3,42, test_pos , MI
8, iandj ,10,56, test_pos , MI
9, iandj ,208,1089, test_pos , MI
10, iandj ,30,1565, test_pos , MI
11, iandj ,54,127, test_pos , MI
12, iandj ,235,1867, test_pos , MI
13, iandj ,54,2241, test_pos , MI
14, iandj ,196,1984, test_pos , MI
15, iandj ,332,2302, test_pos , MI
16, iandj ,2,188, test_pos , MI
17, iandj ,119,417, test_pos , MI
18, iandj ,2,209, test_pos , MI
19, iandj ,7,100, test_pos , MI
20, iandj ,281,1034, test_pos , MI
21, iandj ,175,1777, test_pos , MI
22, iandj ,3,258, test_pos , MI
23, iandj ,171,843, test_pos , MI
24, iandj ,3,163, test_pos , MI
25, iandj ,267,768, test_pos , MI
26, iandj ,2,10, test_pos , MI
27, iandj ,273,1707, test_pos , MI
28, iandj ,7,112, test_pos , MI
29, iandj ,267,846, test_pos , MI
30, iandj ,254,591, test_pos , MI
31, iandj ,186,1194, test_pos , MI
32, iandj ,6,167, test_pos , MI
33, iandj ,2,258, test_pos , MI
34, iandj ,7,204, test_pos , MI
35, iandj ,117,1962, test_pos , MI
36, iandj ,102,432, test_pos , MI
37, iandj ,137,963, test_pos , MI
38, iandj ,2,284, test_pos , MI
39, iandj ,3,126, test_pos , MI
40, iandj ,1,117, test_pos , MI
41, iandj ,7,120, test_pos , MI
42, iandj ,85,1215, test_pos , MI
43, iandj ,7,137, test_pos , MI
44, iandj ,9,312, test_pos , MI
45, iandj ,54,1870, test_pos , MI
46, iandj ,5,71, test_pos , MI
47, iandj ,72,1169, test_pos , MI
48, iandj ,3,127, test_pos , MI
49, iandj ,6,117, test_pos , MI
50, iandj ,218,1414, test_pos , MI
51, iandj ,2,262, test_pos , MI
52, iandj ,109,1456, test_pos , MI
53, iandj ,124,664, test_pos , MI
54, iandj ,3,12, test_pos , MI
55, iandj ,308,1078, test_pos , MI
56, iandj ,280,875, test_pos , MI
57, iandj ,7,278, test_pos , MI
58, iandj ,139,2340, test_pos , MI
59, iandj ,9,72, test_pos , MI
60, iandj ,1,196, test_pos , MI
61, iandj ,22,267, test_pos , MI
62, iandj ,6,112, test_pos , MI
63, iandj ,201,808, test_pos , MI
64, iandj ,173,1394, test_pos , MI
65, iandj ,6,68, test_pos , MI
66, iandj ,54,2131, test_pos , MI
67, iandj ,308,1653, test_pos , MI
68, iandj ,9,284, test_pos , MI
69, iandj ,9,178, test_pos , MI
70, iandj ,10,38, test_pos , MI
71, iandj ,2,5, test_pos , MI
72, iandj ,91,2040, test_pos , MI
73, iandj ,6,207, test_pos , MI
74, iandj ,54,1032, test_pos , MI
75, iandj ,223,1544, test_pos , MI
76, iandj ,1,277, test_pos , MI
77, iandj ,54,886, test_pos , MI
78, iandj ,254,397, test_pos , MI
79, iandj ,22,332, test_pos , MI
80, iandj ,7,81, test_pos , MI
81, iandj ,6,243, test_pos , MI
82, iandj ,3,22, test_pos , MI
83, iandj ,143,586, test_pos , MI
84, iandj ,7,298, test_pos , MI
85, iandj ,54,680, test_pos , MI
86, iandj ,22,54, test_pos , MI
87, iandj ,218,1846, test_pos , MI
88, iandj ,187,280, test_pos , MI
89, iandj ,144,1050, test_pos , MI
90, iandj ,168,1220, test_pos , MI
91, iandj ,54,2263, test_pos , MI
92, iandj ,1,246, test_pos , MI
93, iandj ,267,1394, test_pos , MI
94, iandj ,109,2073, test_pos , MI
95, iandj ,72,1931, test_pos , MI
96, iandj ,3,165, test_pos , MI
97, iandj ,54,796, test_pos , MI
98, iandj ,5,21, test_pos , MI
99, iandj ,9,215, test_pos , MI
100, iandj ,1,9, test_pos , MI
101, iandj ,7,280, test_pos , MI
102, iandj ,1,161, test_pos , MI
103, iandj ,82,1144, test_pos , MI
104, iandj ,54,491, test_pos , MI
105, iandj ,6,234, test_pos , MI
106, iandj ,332,2140, test_pos , MI
107, iandj ,6,120, test_pos , MI
108, iandj ,3,246, test_pos , MI
109, iandj ,30,2233, test_pos , MI
110, iandj ,7,150, test_pos , MI
111, iandj ,6,47, test_pos , MI
112, iandj ,54,1339, test_pos , MI
113, iandj ,5,278, test_pos , MI
114, iandj ,5,83, test_pos , MI
115, iandj ,6,302, test_pos , MI
116, iandj ,54,1826, test_pos , MI
117, iandj ,7,10, test_pos , MI
118, iandj ,3,1028, test_pos , MI
119, iandj ,7,270, test_pos , MI
120, iandj ,91,2286, test_pos , MI
121, iandj ,54,2257, test_pos , MI
122, iandj ,9,263, test_pos , MI
123, iandj ,143,1215, test_pos , MI
124, iandj ,332,2040, test_pos , MI
125, iandj ,187,1118, test_pos , MI
126, iandj ,219,677, test_pos , MI
127, iandj ,54,203, test_pos , MI
128, iandj ,3,329, test_pos , MI
129, iandj ,223,1484, test_pos , MI
130, iandj ,191,254, test_pos , MI
131, iandj ,2,22, test_pos , MI
132, iandj ,3,91, test_pos , MI
133, iandj ,5,143, test_pos , MI
134, iandj ,91,1630, test_pos , MI
135, iandj ,243,2391, test_pos , MI
136, iandj ,9,112, test_pos , MI
137, iandj ,191,768, test_pos , MI
138, iandj ,204,2423, test_pos , MI
139, iandj ,5,267, test_pos , MI
140, iandj ,6,263, test_pos , MI
141, iandj ,9,257, test_pos , MI
142, iandj ,65,1644, test_pos , MI
143, iandj ,2,278, test_pos , MI
144, iandj ,1,71, test_pos , MI
145, iandj ,5,177, test_pos , MI
146, iandj ,322,1245, test_pos , MI
147, iandj ,43,159, test_pos , MI
148, iandj ,3,88, test_pos , MI
149, iandj ,191,677, test_pos , MI
150, iandj ,1,108, test_pos , MI
151, iandj ,1,220, test_pos , MI
152, iandj ,9,98, test_pos , MI
153, iandj ,3,73, test_pos , MI
154, iandj ,3,231, test_pos , MI
155, iandj ,281,533, test_pos , MI
156, iandj ,218,430, test_pos , MI
157, iandj ,6,314, test_pos , MI
158, iandj ,7,243, test_pos , MI
159, iandj ,191,1843, test_pos , MI
160, iandj ,1,163, test_pos , MI
161, iandj ,2,327, test_pos , MI
162, iandj ,196,823, test_pos , MI
163, iandj ,83,699, test_pos , MI
164, iandj ,7,219, test_pos , MI
165, iandj ,220,1354, test_pos , MI
166, iandj ,6,106, test_pos , MI
167, iandj ,5,57, test_pos , MI
168, iandj ,304,1090, test_pos , MI
169, iandj ,332,1972, test_pos , MI
170, iandj ,2,144, test_pos , MI
171, iandj ,222,1916, test_pos , MI
172, iandj ,312,1034, test_pos , MI
173, iandj ,1,65, test_pos , MI
174, iandj ,5,219, test_pos , MI
175, iandj ,5,182, test_pos , MI
176, iandj ,72,2324, test_pos , MI
177, iandj ,1,137, test_pos , MI
178, iandj ,76,267, test_pos , MI
179, iandj ,267,1524, test_pos , MI
180, iandj ,2,85, test_pos , MI
181, iandj ,9,277, test_pos , MI
182, iandj ,54,1050, test_pos , MI
183, iandj ,267,2320, test_pos , MI
184, iandj ,243,994, test_pos , MI
185, iandj ,1,325, test_pos , MI
186, iandj ,6,332, test_pos , MI
187, iandj ,280,318, test_pos , MI
188, iandj ,76,332, test_pos , MI
189, iandj ,54,302, test_pos , MI
190, iandj ,3,118, test_pos , MI
191, iandj ,2,283, test_pos , MI
192, iandj ,168,1211, test_pos , MI
193, iandj ,54,1933, test_pos , MI
194, iandj ,280,2391, test_pos , MI
195, iandj ,146,808, test_pos , MI
196, iandj ,2,95, test_pos , MI
197, iandj ,5,234, test_pos , MI
198, iandj ,3,281, test_pos , MI
199, iandj ,280,658, test_pos , MI
200, iandj ,267,1729, test_pos , MI
201, iandj ,254,2302, test_pos , MI
202, iandj ,82,1630, test_pos , MI
203, iandj ,2,91, test_pos , MI
204, iandj ,3,250, test_pos , MI
205, iandj ,22,889, test_pos , MI
206, iandj ,332,479, test_pos , MI
207, iandj ,7,72, test_pos , MI
208, iandj ,9,207, test_pos , MI
209, iandj ,6,98, test_pos , MI
210, iandj ,7,57, test_pos , MI
211, iandj ,1,201, test_pos , MI
212, iandj ,98,1393, test_pos , MI
213, iandj ,191,2072, test_pos , MI
214, iandj ,312,846, test_pos , MI
215, iandj ,3,7, test_pos , MI
216, iandj ,332,1524, test_pos , MI
217, iandj ,54,1249, test_pos , MI
218, iandj ,187,253, test_pos , MI
219, iandj ,267,1211, test_pos , MI
220, iandj ,267,1289, test_pos , MI
221, iandj ,9,146, test_pos , MI
222, iandj ,9,35, test_pos , MI
223, iandj ,3,253, test_pos , MI
224, iandj ,2,279, test_pos , MI
225, iandj ,54,2116, test_pos , MI
226, iandj ,5,38, test_pos , MI
227, iandj ,332,1426, test_pos , MI
228, iandj ,9,115, test_pos , MI
229, iandj ,7,250, test_pos , MI
230, iandj ,1,127, test_pos , MI
231, iandj ,54,1801, test_pos , MI
232, iandj ,219,924, test_pos , MI
233, iandj ,9,448, test_pos , MI
234, iandj ,54,1035, test_pos , MI
235, iandj ,312,1742, test_pos , MI
236, iandj ,332,1028, test_pos , MI
237, iandj ,5,12, test_pos , MI
238, iandj ,9,1774, test_pos , MI
239, iandj ,9,1711, test_pos , MI
240, iandj ,7,22, test_pos , MI
241, iandj ,7,60, test_pos , MI
242, iandj ,137,990, test_pos , MI
243, iandj ,302,479, test_pos , MI
244, iandj ,9,149, test_pos , MI
245, iandj ,91,1704, test_pos , MI
246, iandj ,9,218, test_pos , MI
247, iandj ,5,259, test_pos , MI
248, iandj ,273,537, test_pos , MI
249, iandj ,1,298, test_pos , MI
250, iandj ,254,2040, test_pos , MI
251, iandj ,312,2071, test_pos , MI
252, iandj ,3,168, test_pos , MI
253, iandj ,7,117, test_pos , MI
254, iandj ,1,186, test_pos , MI
255, iandj ,3,166, test_pos , MI
256, iandj ,332,768, test_pos , MI
257, iandj ,54,701, test_pos , MI
258, iandj ,88,1245, test_pos , MI
259, iandj ,88,795, test_pos , MI
260, iandj ,177,1176, test_pos , MI
261, iandj ,10,73, test_pos , MI
262, iandj ,7,85, test_pos , MI
263, iandj ,2,124, test_pos , MI
264, iandj ,1,304, test_pos , MI
265, iandj ,3,47, test_pos , MI
266, iandj ,1,267, test_pos , MI
267, iandj ,54,1999, test_pos , MI
268, iandj ,280,2403, test_pos , MI
269, iandj ,218,412, test_pos , MI
270, iandj ,5,161, test_pos , MI
271, iandj ,9,270, test_pos , MI
272, iandj ,5,304, test_pos , MI
273, iandj ,22,1704, test_pos , MI
274, iandj ,304,2124, test_pos , MI
275, iandj ,259,2329, test_pos , MI
276, iandj ,54,538, test_pos , MI
277, iandj ,3,288, test_pos , MI
278, iandj ,91,1331, test_pos , MI
279, iandj ,312,964, test_pos , MI
280, iandj ,22,302, test_pos , MI
281, iandj ,7,312, test_pos , MI
282, iandj ,124,208, test_pos , MI
