,probab,iandj,TF,G,typ,sub,true_y
0,0.5487281084060669,iandj ,G8,G221, test_pos , SP,0
1,0.5462814271450043,iandj ,G138,G271, test_pos , SP,1
2,0.552728682756424,iandj ,G7,G255, test_pos , SP,0
3,0.5514310747385025,iandj ,G7,G56, test_pos , SP,0
4,0.5495345443487167,iandj ,G223,G1049, test_pos , SP,1
5,0.5446155816316605,iandj ,G8,G106, test_pos , SP,0
6,0.6718569397926331,iandj ,G333,G1658, test_pos , SP,1
7,0.5491506159305573,iandj ,G4,G43, test_pos , SP,0
8,0.5547036975622177,iandj ,G11,G57, test_pos , SP,0
9,0.7154953628778458,iandj ,G209,G1090, test_pos , SP,1
10,0.7332770228385925,iandj ,G31,G1566, test_pos , SP,1
11,0.5482778549194336,iandj ,G55,G128, test_pos , SP,1
12,0.5549016445875168,iandj ,G236,G1868, test_pos , SP,1
13,0.7668872773647308,iandj ,G55,G2242, test_pos , SP,1
14,0.5456343293190002,iandj ,G197,G1985, test_pos , SP,1
15,0.7840922623872757,iandj ,G333,G2303, test_pos , SP,1
16,0.6012515723705292,iandj ,G3,G189, test_pos , SP,0
17,0.7684621065855026,iandj ,G120,G418, test_pos , SP,1
18,0.6115435659885406,iandj ,G3,G210, test_pos , SP,0
19,0.5432757139205933,iandj ,G8,G101, test_pos , SP,0
20,0.684467539191246,iandj ,G282,G1035, test_pos , SP,1
21,0.7870146036148071,iandj ,G176,G1778, test_pos , SP,1
22,0.6818983256816864,iandj ,G4,G259, test_pos , SP,0
23,0.7667446881532669,iandj ,G172,G844, test_pos , SP,1
24,0.6679540574550629,iandj ,G4,G164, test_pos , SP,0
25,0.7597327530384064,iandj ,G268,G769, test_pos , SP,1
26,0.6010901927947998,iandj ,G3,G11, test_pos , SP,0
27,0.5465133637189865,iandj ,G274,G1708, test_pos , SP,1
28,0.5581739693880081,iandj ,G8,G113, test_pos , SP,0
29,0.7664095014333725,iandj ,G268,G847, test_pos , SP,1
30,0.7509238570928574,iandj ,G255,G592, test_pos , SP,1
31,0.6607577800750732,iandj ,G187,G1195, test_pos , SP,1
32,0.651445597410202,iandj ,G7,G168, test_pos , SP,0
33,0.7290395051240921,iandj ,G3,G259, test_pos , SP,0
34,0.5453907549381256,iandj ,G8,G205, test_pos , SP,0
35,0.7889802008867264,iandj ,G118,G1963, test_pos , SP,1
36,0.7630474418401718,iandj ,G103,G433, test_pos , SP,1
37,0.5523019880056381,iandj ,G138,G964, test_pos , SP,1
38,0.6609698534011841,iandj ,G3,G285, test_pos , SP,0
39,0.5514692068099976,iandj ,G4,G127, test_pos , SP,0
40,0.5431495010852814,iandj ,G2,G118, test_pos , SP,0
41,0.5463603138923645,iandj ,G8,G121, test_pos , SP,0
42,0.7828277349472046,iandj ,G86,G1216, test_pos , SP,1
43,0.5433843731880188,iandj ,G8,G138, test_pos , SP,0
44,0.5709673315286636,iandj ,G10,G313, test_pos , SP,0
45,0.7538943737745285,iandj ,G55,G1871, test_pos , SP,1
46,0.5453555732965469,iandj ,G6,G72, test_pos , SP,0
47,0.7373195141553879,iandj ,G73,G1170, test_pos , SP,1
48,0.5534371733665466,iandj ,G4,G128, test_pos , SP,0
49,0.5537587255239487,iandj ,G7,G118, test_pos , SP,0
50,0.5932181626558304,iandj ,G219,G1415, test_pos , SP,1
51,0.5990780889987946,iandj ,G3,G263, test_pos , SP,0
52,0.7736392468214035,iandj ,G110,G1457, test_pos , SP,1
53,0.7243079245090485,iandj ,G125,G665, test_pos , SP,1
54,0.5819119065999985,iandj ,G4,G13, test_pos , SP,0
55,0.6793726533651352,iandj ,G309,G1079, test_pos , SP,1
56,0.71230348944664,iandj ,G281,G876, test_pos , SP,1
57,0.6475073397159576,iandj ,G8,G279, test_pos , SP,0
58,0.5904144942760468,iandj ,G140,G2341, test_pos , SP,1
59,0.5697681307792664,iandj ,G10,G73, test_pos , SP,0
60,0.5468276143074036,iandj ,G2,G197, test_pos , SP,0
61,0.5577737390995026,iandj ,G23,G268, test_pos , SP,0
62,0.5714267939329147,iandj ,G7,G113, test_pos , SP,0
63,0.7550933808088303,iandj ,G202,G809, test_pos , SP,1
64,0.6880200803279877,iandj ,G174,G1395, test_pos , SP,1
65,0.5591963976621628,iandj ,G7,G69, test_pos , SP,0
66,0.5482778549194336,iandj ,G55,G2132, test_pos , SP,1
67,0.5456819385290146,iandj ,G309,G1654, test_pos , SP,1
68,0.6118650585412979,iandj ,G10,G285, test_pos , SP,0
69,0.5574851185083389,iandj ,G10,G179, test_pos , SP,0
70,0.5463144928216934,iandj ,G11,G39, test_pos , SP,0
71,0.5994759202003479,iandj ,G3,G6, test_pos , SP,0
72,0.7755028754472733,iandj ,G92,G2041, test_pos , SP,1
73,0.5579497814178467,iandj ,G7,G208, test_pos , SP,0
74,0.5494199991226196,iandj ,G55,G1033, test_pos , SP,1
75,0.7631279677152634,iandj ,G224,G1545, test_pos , SP,1
76,0.5424399375915527,iandj ,G2,G278, test_pos , SP,0
77,0.6660375893115997,iandj ,G55,G887, test_pos , SP,1
78,0.7713702768087387,iandj ,G255,G398, test_pos , SP,1
79,0.5382683426141739,iandj ,G23,G333, test_pos , SP,0
80,0.5632677674293518,iandj ,G8,G82, test_pos , SP,0
81,0.5557733029127121,iandj ,G7,G244, test_pos , SP,0
82,0.5463880151510239,iandj ,G4,G23, test_pos , SP,0
83,0.686493381857872,iandj ,G144,G587, test_pos , SP,1
84,0.540732130408287,iandj ,G8,G299, test_pos , SP,0
85,0.7783109247684479,iandj ,G55,G681, test_pos , SP,1
86,0.5482778549194336,iandj ,G23,G55, test_pos , SP,1
87,0.7773447781801224,iandj ,G219,G1847, test_pos , SP,1
88,0.6048000454902649,iandj ,G188,G281, test_pos , SP,0
89,0.7746419608592987,iandj ,G145,G1051, test_pos , SP,1
90,0.7114907801151276,iandj ,G169,G1221, test_pos , SP,1
91,0.6845027804374695,iandj ,G55,G2264, test_pos , SP,1
92,0.5436789095401764,iandj ,G2,G247, test_pos , SP,0
93,0.6880200803279877,iandj ,G268,G1395, test_pos , SP,1
94,0.5468029528856277,iandj ,G110,G2074, test_pos , SP,1
95,0.5642912238836288,iandj ,G73,G1932, test_pos , SP,1
96,0.5516453385353088,iandj ,G4,G166, test_pos , SP,0
97,0.7745991945266724,iandj ,G55,G797, test_pos , SP,1
98,0.5460712760686874,iandj ,G6,G22, test_pos , SP,0
99,0.5737474709749222,iandj ,G10,G216, test_pos , SP,0
100,0.5503901541233063,iandj ,G2,G10, test_pos , SP,0
101,0.6048000305891037,iandj ,G8,G281, test_pos , SP,0
102,0.5424399375915527,iandj ,G2,G162, test_pos , SP,0
103,0.5451049953699112,iandj ,G83,G1145, test_pos , SP,1
104,0.5558483004570007,iandj ,G55,G492, test_pos , SP,1
