,probab,iandj,TF,G,typ,sub,true_y
0,0.5539494454860687,iandj ,G8,G221, test_pos , SP,0
1,0.5541308522224426,iandj ,G138,G271, test_pos , SP,1
2,0.5479521751403809,iandj ,G7,G255, test_pos , SP,0
3,0.545356959104538,iandj ,G7,G56, test_pos , SP,0
4,0.5556482672691345,iandj ,G223,G1049, test_pos , SP,1
5,0.5543906986713409,iandj ,G8,G106, test_pos , SP,0
6,0.6009256839752197,iandj ,G333,G1658, test_pos , SP,1
7,0.5651763379573822,iandj ,G4,G43, test_pos , SP,0
8,0.5517835915088654,iandj ,G11,G57, test_pos , SP,0
9,0.8160832524299622,iandj ,G209,G1090, test_pos , SP,1
10,0.7929311394691467,iandj ,G31,G1566, test_pos , SP,1
11,0.556499183177948,iandj ,G55,G128, test_pos , SP,1
12,0.5714517533779144,iandj ,G236,G1868, test_pos , SP,1
13,0.7851955890655518,iandj ,G55,G2242, test_pos , SP,1
14,0.5462065637111664,iandj ,G197,G1985, test_pos , SP,1
15,0.8032870888710021,iandj ,G333,G2303, test_pos , SP,1
16,0.5521063506603241,iandj ,G3,G189, test_pos , SP,0
17,0.7872326970100403,iandj ,G120,G418, test_pos , SP,1
18,0.5726903676986694,iandj ,G3,G210, test_pos , SP,0
19,0.5527250468730927,iandj ,G8,G101, test_pos , SP,0
20,0.8024574220180511,iandj ,G282,G1035, test_pos , SP,1
21,0.8033279180526733,iandj ,G176,G1778, test_pos , SP,1
22,0.80768221616745,iandj ,G4,G259, test_pos , SP,0
23,0.7863918244838715,iandj ,G172,G844, test_pos , SP,1
24,0.5651763379573822,iandj ,G4,G164, test_pos , SP,0
25,0.7799921035766602,iandj ,G268,G769, test_pos , SP,1
26,0.5517835915088654,iandj ,G3,G11, test_pos , SP,0
27,0.5498452484607697,iandj ,G274,G1708, test_pos , SP,1
28,0.5849350392818451,iandj ,G8,G113, test_pos , SP,0
29,0.7835192680358887,iandj ,G268,G847, test_pos , SP,1
30,0.7765047550201415,iandj ,G255,G592, test_pos , SP,1
31,0.767163872718811,iandj ,G187,G1195, test_pos , SP,1
32,0.6980518996715546,iandj ,G7,G168, test_pos , SP,0
