 i and j  , i , j , nam , sk
 iandj , 0 , 67 , train_pos , MI
 iandj , 16 , 195 , train_pos , MI
 iandj , 0 , 226 , train_pos , MI
 iandj , 125 , 1355 , train_pos , MI
 iandj , 86 , 839 , train_pos , MI
 iandj , 13 , 94 , train_pos , MI
 iandj , 120 , 908 , train_pos , MI
 iandj , 14 , 21 , train_pos , MI
 iandj , 138 , 916 , train_pos , MI
 iandj , 126 , 1258 , train_pos , MI
 iandj , 159 , 733 , train_pos , MI
 iandj , 318 , 468 , train_pos , MI
 iandj , 12 , 326 , train_pos , MI
 iandj , 4 , 301 , train_pos , MI
 iandj , 11 , 65 , train_pos , MI
 iandj , 97 , 394 , train_pos , MI
 iandj , 110 , 751 , train_pos , MI
 iandj , 13 , 159 , train_pos , MI
 iandj , 4 , 67 , train_pos , MI
 iandj , 44 , 157 , train_pos , MI
 iandj , 62 , 75 , train_pos , MI
 iandj , 110 , 157 , train_pos , MI
 iandj , 12 , 44 , train_pos , MI
 iandj , 97 , 227 , train_pos , MI
 iandj , 10 , 244 , train_pos , MI
 iandj , 202 , 1319 , train_pos , MI
 iandj , 121 , 551 , train_pos , MI
 iandj , 10 , 75 , train_pos , MI
 iandj , 81 , 222 , train_pos , MI
 iandj , 11 , 211 , train_pos , MI
 iandj , 70 , 108 , train_pos , MI
 iandj , 297 , 1263 , train_pos , MI
 iandj , 4 , 59 , train_pos , MI
 iandj , 150 , 159 , train_pos , MI
 iandj , 13 , 60 , train_pos , MI
 iandj , 275 , 1250 , train_pos , MI
 iandj , 297 , 672 , train_pos , MI
 iandj , 8 , 84 , train_pos , MI
 iandj , 16 , 116 , train_pos , MI
 iandj , 16 , 202 , train_pos , MI
 iandj , 4 , 143 , train_pos , MI
 iandj , 175 , 260 , train_pos , MI
 iandj , 4 , 44 , train_pos , MI
 iandj , 223 , 294 , train_pos , MI
 iandj , 14 , 999 , train_pos , MI
 iandj , 12 , 59 , train_pos , MI
 iandj , 11 , 221 , train_pos , MI
 iandj , 10 , 291 , train_pos , MI
 iandj , 8 , 210 , train_pos , MI
 iandj , 16 , 143 , train_pos , MI
 iandj , 11 , 121 , train_pos , MI
 iandj , 8 , 96 , train_pos , MI
 iandj , 21 , 303 , train_pos , MI
 iandj , 223 , 274 , train_pos , MI
 iandj , 111 , 433 , train_pos , MI
 iandj , 40 , 781 , train_pos , MI
 iandj , 11 , 297 , train_pos , MI
 iandj , 75 , 824 , train_pos , MI
 iandj , 11 , 171 , train_pos , MI
 iandj , 26 , 137 , train_pos , MI
 iandj , 8 , 69 , train_pos , MI
 iandj , 28 , 167 , train_pos , MI
 iandj , 21 , 512 , train_pos , MI
 iandj , 16 , 204 , train_pos , MI
 iandj , 94 , 1111 , train_pos , MI
 iandj , 46 , 1220 , train_pos , MI
 iandj , 16 , 159 , train_pos , MI
 iandj , 8 , 272 , train_pos , MI
 iandj , 12 , 288 , train_pos , MI
 iandj , 11 , 218 , train_pos , MI
 iandj , 44 , 1250 , train_pos , MI
 iandj , 14 , 140 , train_pos , MI
 iandj , 75 , 297 , train_pos , MI
 iandj , 137 , 1298 , train_pos , MI
 iandj , 211 , 513 , train_pos , MI
 iandj , 153 , 247 , train_pos , MI
 iandj , 13 , 297 , train_pos , MI
 iandj , 43 , 110 , train_pos , MI
 iandj , 0 , 16 , train_pos , MI
 iandj , 10 , 138 , train_pos , MI
 iandj , 10 , 221 , train_pos , MI
 iandj , 8 , 118 , train_pos , MI
 iandj , 218 , 1071 , train_pos , MI
 iandj , 16 , 84 , train_pos , MI
 iandj , 272 , 1264 , train_pos , MI
 iandj , 75 , 452 , train_pos , MI
 iandj , 11 , 244 , train_pos , MI
 iandj , 13 , 116 , train_pos , MI
 iandj , 0 , 69 , train_pos , MI
 iandj , 8 , 109 , train_pos , MI
 iandj , 13 , 210 , train_pos , MI
 iandj , 10 , 67 , train_pos , MI
 iandj , 103 , 1013 , train_pos , MI
 iandj , 223 , 269 , train_pos , MI
 iandj , 0 , 108 , train_pos , MI
 iandj , 12 , 111 , train_pos , MI
 iandj , 10 , 294 , train_pos , MI
 iandj , 116 , 544 , train_pos , MI
 iandj , 60 , 778 , train_pos , MI
 iandj , 13 , 67 , train_pos , MI
 iandj , 0 , 523 , train_pos , MI
 iandj , 4 , 195 , train_pos , MI
 iandj , 120 , 568 , train_pos , MI
 iandj , 0 , 21 , train_pos , MI
 iandj , 10 , 170 , train_pos , MI
 iandj , 111 , 269 , train_pos , MI
 iandj , 13 , 151 , train_pos , MI
 iandj , 14 , 24 , train_pos , MI
 iandj , 12 , 226 , train_pos , MI
 iandj , 126 , 202 , train_pos , MI
 iandj , 4 , 116 , train_pos , MI
 iandj , 21 , 722 , train_pos , MI
 iandj , 315 , 390 , train_pos , MI
 iandj , 8 , 291 , train_pos , MI
 iandj , 16 , 40 , train_pos , MI
 iandj , 14 , 290 , train_pos , MI
 iandj , 21 , 824 , train_pos , MI
 iandj , 33 , 1075 , train_pos , MI
 iandj , 13 , 318 , train_pos , MI
 iandj , 21 , 1027 , train_pos , MI
 iandj , 221 , 1141 , train_pos , MI
 iandj , 135 , 551 , train_pos , MI
 iandj , 137 , 1345 , train_pos , MI
 iandj , 14 , 956 , train_pos , MI
 iandj , 80 , 97 , train_pos , MI
 iandj , 0 , 332 , train_pos , MI
 iandj , 21 , 240 , train_pos , MI
 iandj , 13 , 253 , train_pos , MI
 iandj , 14 , 220 , train_pos , MI
 iandj , 12 , 275 , train_pos , MI
 iandj , 11 , 302 , train_pos , MI
 iandj , 186 , 223 , train_pos , MI
 iandj , 13 , 59 , train_pos , MI
 iandj , 12 , 84 , train_pos , MI
 iandj , 10 , 64 , train_pos , MI
 iandj , 8 , 136 , train_pos , MI
 iandj , 209 , 210 , train_pos , MI
 iandj , 0 , 171 , train_pos , MI
 iandj , 218 , 538 , train_pos , MI
 iandj , 8 , 290 , train_pos , MI
 iandj , 4 , 96 , train_pos , MI
 iandj , 198 , 1067 , train_pos , MI
 iandj , 21 , 1235 , train_pos , MI
 iandj , 170 , 1313 , train_pos , MI
 iandj , 10 , 86 , train_pos , MI
 iandj , 159 , 1326 , train_pos , MI
 iandj , 4 , 323 , train_pos , MI
 iandj , 12 , 126 , train_pos , MI
 iandj , 44 , 112 , train_pos , MI
 iandj , 40 , 546 , train_pos , MI
 iandj , 19 , 318 , train_pos , MI
 iandj , 21 , 583 , train_pos , MI
 iandj , 11 , 126 , train_pos , MI
 iandj , 8 , 16 , train_pos , MI
 iandj , 14 , 218 , train_pos , MI
 iandj , 16 , 294 , train_pos , MI
 iandj , 0 , 318 , train_pos , MI
 iandj , 51 , 86 , train_pos , MI
 iandj , 137 , 1242 , train_pos , MI
 iandj , 16 , 249 , train_pos , MI
 iandj , 10 , 59 , train_pos , MI
 iandj , 0 , 211 , train_pos , MI
 iandj , 0 , 46 , train_pos , MI
 iandj , 103 , 999 , train_pos , MI
 iandj , 13 , 157 , train_pos , MI
 iandj , 16 , 70 , train_pos , MI
 iandj , 112 , 135 , train_pos , MI
 iandj , 13 , 110 , train_pos , MI
 iandj , 13 , 46 , train_pos , MI
 iandj , 8 , 300 , train_pos , MI
 iandj , 61 , 254 , train_pos , MI
 iandj , 16 , 246 , train_pos , MI
 iandj , 12 , 21 , train_pos , MI
 iandj , 0 , 244 , train_pos , MI
 iandj , 142 , 151 , train_pos , MI
 iandj , 142 , 1093 , train_pos , MI
 iandj , 106 , 167 , train_pos , MI
 iandj , 8 , 297 , train_pos , MI
 iandj , 16 , 65 , train_pos , MI
 iandj , 218 , 574 , train_pos , MI
 iandj , 11 , 249 , train_pos , MI
 iandj , 0 , 138 , train_pos , MI
 iandj , 142 , 609 , train_pos , MI
 iandj , 86 , 751 , train_pos , MI
 iandj , 67 , 1313 , train_pos , MI
 iandj , 96 , 1186 , train_pos , MI
 iandj , 100 , 1084 , train_pos , MI
 iandj , 137 , 809 , train_pos , MI
 iandj , 142 , 153 , train_pos , MI
 iandj , 13 , 167 , train_pos , MI
 iandj , 11 , 103 , train_pos , MI
 iandj , 16 , 136 , train_pos , MI
 iandj , 13 , 126 , train_pos , MI
 iandj , 137 , 1326 , train_pos , MI
 iandj , 13 , 103 , train_pos , MI
 iandj , 0 , 323 , train_pos , MI
 iandj , 116 , 460 , train_pos , MI
 iandj , 4 , 288 , train_pos , MI
 iandj , 14 , 1365 , train_pos , MI
 iandj , 16 , 101 , train_pos , MI
 iandj , 0 , 175 , train_pos , MI
 iandj , 33 , 1091 , train_pos , MI
 iandj , 12 , 118 , train_pos , MI
 iandj , 287 , 344 , train_pos , MI
 iandj , 14 , 116 , train_pos , MI
 iandj , 10 , 222 , train_pos , MI
 iandj , 21 , 916 , train_pos , MI
 iandj , 21 , 1314 , train_pos , MI
 iandj , 16 , 126 , train_pos , MI
 iandj , 159 , 177 , train_pos , MI
 iandj , 100 , 112 , train_pos , MI
 iandj , 0 , 256 , train_pos , MI
 iandj , 8 , 14 , train_pos , MI
 iandj , 12 , 96 , train_pos , MI
 iandj , 315 , 1249 , train_pos , MI
 iandj , 13 , 70 , train_pos , MI
 iandj , 46 , 390 , train_pos , MI
 iandj , 60 , 1250 , train_pos , MI
 iandj , 0 , 228 , train_pos , MI
 iandj , 4 , 11 , train_pos , MI
 iandj , 40 , 228 , train_pos , MI
 iandj , 12 , 234 , train_pos , MI
 iandj , 40 , 1136 , train_pos , MI
 iandj , 300 , 1138 , train_pos , MI
 iandj , 13 , 93 , train_pos , MI
 iandj , 218 , 1069 , train_pos , MI
 iandj , 4 , 232 , train_pos , MI
 iandj , 153 , 1250 , train_pos , MI
 iandj , 13 , 246 , train_pos , MI
 iandj , 195 , 694 , train_pos , MI
 iandj , 4 , 57 , train_pos , MI
 iandj , 0 , 94 , train_pos , MI
 iandj , 70 , 908 , train_pos , MI
 iandj , 137 , 1179 , train_pos , MI
 iandj , 0 , 1375 , train_pos , MI
 iandj , 16 , 64 , train_pos , MI
 iandj , 8 , 326 , train_pos , MI
 iandj , 4 , 216 , train_pos , MI
 iandj , 40 , 107 , train_pos , MI
 iandj , 125 , 1141 , train_pos , MI
 iandj , 10 , 65 , train_pos , MI
